,Cumulative Player Stats,CUMULATIVE_PLAYER_STATS,"A list of player stats totals for all roster players, summarized by their latest team.",,,
,Cumulative Player Stats,CUMULATIVE_PLAYER_STATS,"A list of player stats totals for all roster players, summarized by their latest team.",,,
,Cumulative Player Stats,CUMULATIVE_PLAYER_STATS,"A list of player stats totals for all roster players, summarized by their latest team.",,,
,Full Game Schedule,FULL_GAME_SCHEDULE,A list of all games to be played for the entire season.,,,2018-01-22 3:01:09 PM
,Full Game Schedule,FULL_GAME_SCHEDULE,A list of all games to be played for the entire season.,,,
,Full Game Schedule,FULL_GAME_SCHEDULE,A list of all games to be played for the entire season.,,,2018-01-22 3:01:09 PM
,Daily Game Schedule,DAILY_GAME_SCHEDULE,A list of games to be played for a given day.,,,
,Daily Game Schedule,DAILY_GAME_SCHEDULE,A list of games to be played for a given day.,2018-03-29,,2018-01-22 3:01:09 PM
,Daily Game Schedule,DAILY_GAME_SCHEDULE,A list of games to be played for a given day.,2018-03-29,,2018-01-22 3:01:09 PM
,Daily Player Stats,DAILY_PLAYER_STATS,A list of player stats totals for those players who particpated in games on a given day.,,,
,Daily Player Stats,DAILY_PLAYER_STATS,A list of player stats totals for those players who particpated in games on a given day.,,,
,Daily Player Stats,DAILY_PLAYER_STATS,A list of player stats totals for those players who particpated in games on a given day.,2018-03-29,,2018-01-22 3:01:09 PM
,Scoreboard,SCOREBOARD,Scores and status for all games on a given day.,,,
,Game BoxScore,GAME_BOXSCORE,"A boxscore of scoring plays and player stats, for a game.",,,
,Game Play-by-Play,GAME_PLAYBYPLAY,All plays that have occurred for a game.,,,
,Game BoxScore,GAME_BOXSCORE,"A boxscore of scoring plays and player stats, for a game.",,,
,Game BoxScore,GAME_BOXSCORE,"A boxscore of scoring plays and player stats, for a game.",,,
,Game Play-by-Play,GAME_PLAYBYPLAY,All plays that have occurred for a game.,,,
,Game Play-by-Play,GAME_PLAYBYPLAY,All plays that have occurred for a game.,,, 
